time, || threshold, || frequencyHz, || amplitude, || filename
0.9351091384887695,2000,997.4025974025975,2224.0,/peak_capture_64_by_threshold_2000.wav
0.9355499744415283,2000,997.4025974025975,2214.0,/peak_capture_65_by_threshold_2000.wav
0.9359829425811768,2000,997.4025974025975,2205.0,/peak_capture_66_by_threshold_2000.wav
0.9367930889129639,2000,0.0,2195.0,/peak_capture_67_by_threshold_2000.wav
1.0262329578399658,2000,997.4025974025975,2187.0,/peak_capture_68_by_threshold_2000.wav
1.0270709991455078,2000,0.0,2180.0,/peak_capture_69_by_threshold_2000.wav
1.0276389122009277,2000,0.0,2176.0,/peak_capture_70_by_threshold_2000.wav
1.0281829833984375,2000,0.0,2173.0,/peak_capture_71_by_threshold_2000.wav
1.0287258625030518,2000,997.4025974025975,2173.0,/peak_capture_72_by_threshold_2000.wav
1.0292820930480957,2000,997.4025974025975,2175.0,/peak_capture_73_by_threshold_2000.wav
1.0298328399658203,2000,0.0,2179.0,/peak_capture_74_by_threshold_2000.wav
1.0303637981414795,2000,0.0,2183.0,/peak_capture_75_by_threshold_2000.wav
1.0308949947357178,2000,0.0,2189.0,/peak_capture_76_by_threshold_2000.wav
1.1187000274658203,2000,997.4025974025975,2193.0,/peak_capture_77_by_threshold_2000.wav
1.119508981704712,2000,0.0,2197.0,/peak_capture_78_by_threshold_2000.wav
1.1202380657196045,2000,997.4025974025975,2199.0,/peak_capture_79_by_threshold_2000.wav
1.1209321022033691,2000,997.4025974025975,2198.0,/peak_capture_80_by_threshold_2000.wav
1.1216108798980713,2000,0.0,2194.0,/peak_capture_81_by_threshold_2000.wav
1.1226108074188232,2000,997.4025974025975,2187.0,/peak_capture_82_by_threshold_2000.wav
1.1232891082763672,2000,997.4025974025975,2174.0,/peak_capture_83_by_threshold_2000.wav
1.123992919921875,2000,0.0,2159.0,/peak_capture_84_by_threshold_2000.wav
1.1248371601104736,2000,997.4025974025975,2141.0,/peak_capture_85_by_threshold_2000.wav
1.212449073791504,2000,997.4025974025975,2117.0,/peak_capture_86_by_threshold_2000.wav
